gene,SRR1039508,SRR1039512,SRR1039516,SRR1039520,SRR1039509,SRR1039513,SRR1039517,SRR1039521
GENE_LOW_007,9,10,12,19,14,10,16,7
GENE_LOW_008,48,41,40,46,45,27,36,33
GENE_LOW_009,38,43,50,46,40,32,34,31
GENE_LOW_010,4,8,12,2,7,3,10,5
GENE_LOW_011,31,23,35,37,26,23,22,26
GENE_LOW_012,31,34,43,41,35,23,26,26
GENE_LOW_013,43,32,40,39,40,32,38,29
GENE_LOW_014,43,38,40,49,47,32,36,31
GENE_LOW_015,43,43,45,44,43,33,32,33
GENE_LOW_016,43,36,40,49,43,28,36,35
GENE_LOW_017,26,23,25,19,19,15,22,20
GENE_LOW_018,16,17,22,22,16,11,14,11
GENE_LOW_019,45,34,40,41,45,30,38,31
GENE_LOW_020,48,41,50,41,43,30,38,33
GENE_LOW_021,0,0,0,4,0,0,0,1
GENE_LOW_022,4,0,0,0,0,0,0,0
GENE_LOW_023,26,25,35,29,23,18,20,24
GENE_LOW_024,40,30,43,34,43,25,28,28
GENE_LOW_025,9,8,12,4,7,3,8,9
GENE_LOW_026,48,36,50,44,45,30,32,37
GENE_LOW_027,2,10,7,4,7,3,10,1
GENE_LOW_028,21,15,22,27,23,15,14,16
GENE_LOW_029,48,34,43,41,40,28,38,31
GENE_LOW_030,14,8,7,7,7,8,14,13
GENE_001,12751,11757,13467,11362,10070,7245,10427,7944
GENE_002,8745,6385,8875,9561,8174,7298,6390,5731
GENE_003,9601,10428,12521,10445,11258,6969,7990,9198
GENE_004,8482,9374,9025,8928,9514,5716,9455,7565
GENE_005,5939,4484,5726,5277,6243,4669,5305,5541
GENE_006,1468,1320,1321,1415,1142,867,1100,965
GENE_007,2027,1892,1943,2391,2141,1489,2026,1465
GENE_008,2470,2449,2194,2206,2295,1407,1783,1891
GENE_009,9157,7844,10466,8787,9133,5595,6277,6665
GENE_010,1547,1627,1869,2114,1844,1257,1698,1280
GENE_011,9022,6722,6830,9178,6607,4813,7374,6392
GENE_012,7942,5813,6868,9499,6526,5302,7476,6935
GENE_013,10958,8354,11374,9901,10050,6524,6754,6586
GENE_014,10090,8554,10912,9622,10427,6188,10139,10001
GENE_015,9745,8688,10552,14425,9514,9714,10950,7460
GENE_016,2644,2406,3039,3149,2580,2136,2481,2169
GENE_017,7243,9476,8860,7831,10671,5353,6879,6112
GENE_018,7188,6003,9205,7970,6260,6020,5224,6414
GENE_019,4859,5147,6954,6687,6509,4658,5091,4366
GENE_020,2608,2259,3044,3179,2367,2161,2602,2184
GENE_021,3685,3116,3445,2910,2901,2312,2851,2236
GENE_022,6392,5062,5650,6554,5378,4379,6398,4176
GENE_023,10249,9653,9121,10079,9938,7708,6559,6162
GENE_024,3230,2363,3227,3300,2738,1899,2771,2421
GENE_025,4049,3522,4747,3562,4360,2634,4069,3076
GENE_026,2126,1989,1956,2139,1701,1473,1833,1443
GENE_027,284,340,337,343,297,262,277,244
GENE_028,862,787,1174,886,1008,598,768,864
GENE_029,3463,3142,3838,3547,3996,2974,3425,3429
GENE_030,4413,5337,5244,5106,5635,3921,3747,3767
GENE_031,9143,8951,9644,9187,10381,5326,6247,8072
GENE_032,11809,11304,13320,10366,11881,8916,9048,7850
GENE_033,10437,10149,11582,13390,11962,7342,10662,8085
GENE_034,13812,9633,11065,13805,10585,7476,10652,10753
GENE_035,1967,2363,2712,2114,2280,1495,2161,1390
GENE_036,11565,10730,12351,11552,8462,7061,9151,7346
GENE_037,8747,9754,8515,8745,10451,5919,7291,6396
GENE_038,9808,7272,7320,9454,9152,6952,6629,7733
GENE_039,2246,2052,2641,3322,2185,1897,2455,2449
GENE_040,11775,7410,9177,12288,11275,7713,7392,7208
GENE_041,6142,5190,5244,4424,5335,3264,3721,4318
GENE_042,5592,4154,5678,5415,4336,3825,3864,3814
GENE_043,7614,6452,7756,7512,7784,5922,4981,6648
GENE_044,8106,7631,8236,8997,8050,6064,7923,6993
GENE_045,8750,8992,10428,8896,9878,5744,6355,7783
GENE_046,2540,3157,3021,3508,3500,2622,2330,2847
GENE_047,2094,2617,3204,2729,2235,1909,1815,1712
GENE_048,5609,4905,4815,6151,4331,4316,3797,3974
GENE_049,8075,9558,8667,9783,8615,6049,7533,8392
GENE_050,11115,11474,10618,11895,10280,7530,7672,7100
GENE_051,9953,9070,9771,11090,10002,6500,9996,7128
GENE_052,9078,10559,13772,11369,11450,6629,7553,9786
GENE_053,6665,8092,9276,9066,7513,5200,6021,6114
GENE_054,5370,4342,5792,4946,4811,3464,4105,4260
GENE_055,602,405,606,444,622,394,404,371
GENE_056,12619,8561,12024,9474,10359,8604,8447,8033
GENE_057,2239,2637,2481,2764,2923,1934,1855,2163
GENE_058,6221,7033,8492,6754,8124,5168,5407,6661
GENE_059,9049,11787,14033,10321,10846,9334,8684,7004
GENE_060,11045,11030,11717,10233,9456,8867,9296,10666
GENE_061,12884,11120,12549,11344,13093,8685,8388,9172
GENE_062,10136,6513,8822,9546,9368,6732,7670,6653
GENE_063,7289,5332,6071,6262,5997,4309,4486,4043
GENE_064,11298,7890,10243,11913,10137,6300,8855,7021
GENE_065,4008,3634,4255,4274,3423,2703,3695,3278
GENE_066,7007,6834,8893,8530,5716,3971,5369,4701
GENE_067,4512,4307,5082,5929,5024,3234,3890,4421
GENE_068,2682,2298,3595,3461,2484,2363,2614,2595
GENE_069,12773,9005,9400,10255,9312,8894,9388,9011
GENE_070,327,291,281,380,321,227,245,212
GENE_071,4088,3575,4858,3490,4372,2790,3137,3719
GENE_072,6513,5706,6023,6900,5086,4038,5234,4628
GENE_073,3331,2471,3222,2401,3071,2165,2419,2104
GENE_074,5040,4180,5998,4518,4473,4103,4455,3719
GENE_075,771,662,695,884,598,433,740,556
GENE_076,9883,8666,9941,8577,8625,6317,6054,7902
GENE_077,1651,1918,2042,1880,1768,1351,1354,1538
GENE_078,7725,8589,9689,8182,7305,5732,5901,7490
GENE_079,836,850,923,793,656,526,788,610
GENE_080,8933,8215,10727,7923,8673,6012,7575,6394
GENE_081,5898,5880,7155,6640,7841,5455,6681,4456
GENE_082,12734,12264,10780,12540,10170,8718,9682,8894
GENE_083,1313,1476,1595,1514,1600,1009,1364,1036
GENE_084,12411,12575,14315,12377,12051,9253,10469,10959
GENE_085,6320,6575,9177,7955,8311,5014,5440,5544
GENE_086,879,774,971,1096,788,576,869,804
GENE_087,9810,8662,10702,11196,9162,6424,9727,6915
GENE_088,5259,6787,7751,6146,5704,5429,5828,5612
GENE_089,6344,7592,6452,6905,8687,5216,6474,5333
GENE_090,12462,8466,10890,9326,9332,6895,8267,8022
GENE_091,3654,2937,3506,2747,2673,2154,2475,2195
GENE_092,2085,1886,2039,1687,1935,1551,1267,1689
GENE_093,10056,7620,8512,9519,9629,5390,6152,7227
GENE_094,2437,1888,2412,2107,2994,1910,2171,1629
GENE_095,5640,4700,6391,7080,6516,3486,5756,3958
GENE_096,13542,9970,10846,11033,10621,7130,9028,10033
GENE_097,1289,915,1380,1012,1025,894,823,1049
GENE_098,1803,1562,2194,1840,2345,1753,1453,1338
GENE_099,8767,6608,10283,10895,8009,6788,6915,6088
GENE_100,9656,7959,9910,9504,9205,7108,7452,7733
GENE_101,3133,2568,3427,3159,3081,2451,2779,2533
GENE_102,5134,4031,4303,3913,4513,3046,3701,3984
GENE_103,4792,3450,4648,5032,5191,3123,3558,4267
GENE_104,9343,8664,8449,7419,6770,6717,6593,5804
GENE_105,1496,1616,1545,1566,1648,1262,1505,1075
GENE_106,9456,7894,8614,9514,11018,6332,8400,6398
GENE_107,1605,1355,1659,1689,1614,992,1036,1262
GENE_108,5358,3519,6150,4671,4676,3264,4375,3776
GENE_109,8306,7201,6066,6502,7762,4077,5212,5119
GENE_110,313,360,307,360,316,220,247,332
GENE_111,10526,9808,14236,14119,12068,9321,8205,7411
